"player","song","artist","album","song_clean","artist_clean","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","raw_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","last","first","name","single_rate","double_rate","triple_rate","homerun_rate","tempo_bin","valence_bin"
"José Caballero","Bailando en la Lluvia","Daddy Yankee","Bailando en la Lluvia","bailando en la lluvia","daddy yankee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caballero, José",676609,2025,370,74,50,18,1,5,0.236,0.347,0.339,0.686,36.5,5.9,30.6,97.838589423,92.958973317,26.7,45,"Caballero","José","José Caballero",0.135135135135135,0.0486486486486487,0.0027027027027027,0.0135135135135135,"Fast (120+ BPM)","Happy"
"Trent Grisham","No Longer Bound (I'm Free)","Maverick City Music, Forrest Frank","No Longer Bound (I'm Free)","no longer bound (i'm free)","maverick city music, forrest frank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grisham, Trent",663757,2025,581,116,72,9,1,34,0.235,0.464,0.348,0.812,34.6,14.2,46.4,101.23838764,95.167728169,22.7,38.9,"Grisham","Trent","Trent Grisham",0.123924268502582,0.0154905335628227,0.00172117039586919,0.0585197934595525,"Fast (120+ BPM)","Happy"
"Aaron Judge","Swag Surfin'","F.L.Y. (Fast Life Yungstaz)","Jamboree","swag surfin'","f.l.y. (fast life yungstaz)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Judge, Aaron",592450,2025,679,179,94,30,2,53,0.331,0.688,0.457,1.145,39.4,24.7,58.2,106.838113247,98.650676124,34.6,43.7,"Judge","Aaron","Aaron Judge",0.138438880706922,0.0441826215022091,0.00294550810014728,0.0780559646539028,"Fast (120+ BPM)","Happy"
"Anthony Volpe","Where You Are","John Summit, Hayla","Where You Are","where you are","john summit, hayla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volpe, Anthony",683011,2025,596,114,59,32,4,19,0.212,0.391,0.272,0.663,34.6,10.5,41.9,100.214381212,94.48835443,25.1,45.9,"Volpe","Anthony","Anthony Volpe",0.098993288590604,0.0536912751677852,0.00671140939597315,0.0318791946308725,"Fast (120+ BPM)","Happy"
"Austin Wells","Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)","whole lotta love - 1990 remaster","led zeppelin","Rock","Led Zeppelin","Whole Lotta Love - 1990 Remaster","0hCB0YR03f6AmQaHbwWDe8",77,0.0484,0.412,333893,0.902,0.131,"A",0.405,-11.6,"Major",0.405,89.74,"4/4",0.422,"Wells, Austin",669224,2025,448,88,44,22,1,21,0.219,0.436,0.275,0.711,33,10.2,45.2,101.709094658,95.230029897,27.4,50.7,"Wells","Austin","Austin Wells",0.0982142857142857,0.0491071428571429,0.00223214285714286,0.046875,"Slow (<90 BPM)","Neutral"
"Mookie Betts","Put It On Da Floor Again (feat. Cardi B)","Latto, Cardi B","Put It On Da Floor Again (feat. Cardi B)","put it on da floor again (feat. cardi b)","latto, cardi b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betts, Mookie",605141,2025,663,152,107,23,2,20,0.258,0.406,0.326,0.732,37.7,5.5,35.8,98.069345714,93.262709925,15.3,41.2,"Betts","Mookie","Mookie Betts",0.161387631975867,0.0346907993966818,0.00301659125188537,0.0301659125188537,"Fast (120+ BPM)","Happy"
"Alex Call","Soul Survivor","Jeezy","Let's Get It: Thug Motivation 101","soul survivor","jeezy","Hip-Hop","Jeezy","Soul Survivor","0Ss50OU9tCozI7JIywkv14",63,0.00123,0.671,280013,0.499,0,"A#",0.239,-7.766,"Major",0.0442,84.045,"4/4",0.0854,"Call, Alex",669743,2025,322,72,52,13,2,5,0.267,0.385,0.361,0.746,32.4,4.4,28.9,97.303531852,92.783138698,19.2,38.5,"Call","Alex","Alex Call",0.161490683229814,0.0403726708074534,0.0062111801242236,0.015527950310559,"Slow (<90 BPM)","Sad"
"Tommy Edman","I'm So Blessed","CAIN","Rise Up","i'm so blessed","cain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edman, Tommy",669242,2025,377,78,51,13,1,13,0.225,0.382,0.274,0.656,33.3,4.5,39.9,99.368114861,93.911672648,19.8,48,"Edman","Tommy","Tommy Edman",0.135278514588859,0.0344827586206897,0.0026525198938992,0.0344827586206897,"Fast (120+ BPM)","Happy"
"Freddie Freeman","Stay","Zedd, Alessia Cara","Stay","stay","zedd, alessia cara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freeman, Freddie",518692,2025,627,164,99,39,2,24,0.295,0.502,0.367,0.869,36.7,10.4,45.7,100.776056343,94.869970093,27.3,51.9,"Freeman","Freddie","Freddie Freeman",0.157894736842105,0.062200956937799,0.00318979266347687,0.0382775119617225,"Fast (120+ BPM)","Happy"
"Teoscar Hernández","Rest in Peace","WWE","WWE: Undertaker - From the Vault","rest in peace","wwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hernández, Teoscar",606192,2025,546,126,71,29,1,25,0.247,0.454,0.284,0.738,34,11.5,46.1,101.752887801,95.144195209,31.9,50.4,"Hernández","Teoscar","Teoscar Hernández",0.13003663003663,0.0531135531135531,0.00183150183150183,0.0457875457875458,"Fast (120+ BPM)","Happy"
"Max Muncy","Return of the Mack","Mark Morrison","Return of the Mack","return of the mack","mark morrison","Soul","Mark Morrison","Return Of The Mack","3jDdpx9PMlfMBS5tOBHFm9",72,0.00631,0.715,213093,0.833,0,"D",0.164,-5.379,"Major",0.108,95.487,"4/4",0.612,"Muncy, Max",691777,2025,220,44,28,7,0,9,0.214,0.379,0.259,0.638,33.8,10.1,32.4,99.591026471,93.796838162,32.6,50.2,"Muncy","Max","Max Muncy",0.127272727272727,0.0318181818181818,0,0.0409090909090909,"Medium (90–119 BPM)","Neutral"
"Max Muncy","Return of the Mack","Mark Morrison","Return of the Mack","return of the mack","mark morrison","Soul","Mark Morrison","Return Of The Mack","3jDdpx9PMlfMBS5tOBHFm9",72,0.00631,0.715,213093,0.833,0,"D",0.164,-5.379,"Major",0.108,95.487,"4/4",0.612,"Muncy, Max",571970,2025,388,76,45,10,2,19,0.243,0.47,0.376,0.846,37.4,13.6,51.5,101.909755678,95.532473957,23.5,42.4,"Muncy","Max","Max Muncy",0.115979381443299,0.0257731958762887,0.00515463917525773,0.0489690721649485,"Medium (90–119 BPM)","Neutral"
"Shohei Ohtani","Last Breath","Various Artists","CREED: Original Motion Picture Soundtrack","last breath","various artists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ohtani, Shohei",660271,2025,727,172,83,25,9,55,0.282,0.622,0.392,1.014,35.9,23.5,58.7,106.126015352,98.277186118,33.4,45,"Ohtani","Shohei","Shohei Ohtani",0.114167812929849,0.0343878954607978,0.0123796423658872,0.0756533700137552,"Fast (120+ BPM)","Happy"
"Esteury Ruiz","Thinkin’ Bout Me","Morgan Wallen","One Thing At A Time","thinkin’ bout me","morgan wallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ruiz, Esteury",665923,2025,23,4,3,0,0,1,0.19,0.333,0.261,0.594,15.4,7.7,23.1,94.73533,91.804691667,48.9,53.4,"Ruiz","Esteury","Esteury Ruiz",0.130434782608696,0,0,0.0434782608695652,"Fast (120+ BPM)","Happy"
"Will Smith","The Show Goes On","Lupe Fiasco","Lasers","the show goes on","lupe fiasco","Hip-Hop","Lupe Fiasco","The Show Goes On","4NTWZqvfQTlOMitlVn6tew",69,0.0189,0.591,239613,0.889,0,"G",0.155,-3.839,"Major",0.115,143.067,"4/4",0.65,"Smith, Will",669257,2025,436,107,69,20,1,17,0.296,0.497,0.404,0.901,41.7,12.2,47.1,101.332929281,95.105303022,22.2,38.8,"Smith","Will","Will Smith",0.158256880733945,0.0458715596330275,0.00229357798165138,0.0389908256880734,"Fast (120+ BPM)","Neutral"
"Nick Allen","Business","Eminem","The Eminem Show (Edited Version)","business","eminem","Hip-Hop","Eminem","Business","0x60P5taxdI5pcGbqbap6S",65,0.0435,0.916,251760,0.817,2.61e-06,"G",0.111,-4.487,"Major",0.221,96.426,"4/4",0.527,"Allen, Nick",669397,2025,416,82,71,11,0,0,0.221,0.251,0.284,0.535,29.3,0,21.6,94.907320963,91.457467333,21.5,48.4,"Allen","Nick","Nick Allen",0.170673076923077,0.0264423076923077,0,0,"Medium (90–119 BPM)","Neutral"
"Jose Altuve","Ball For Me","Post Malone","beerbongs & bentleys","ball for me","post malone","Rap","Post Malone","Ball For Me","3UP4tYlgEes6TajBXh8faH",54,0.511,0.775,206267,0.527,0,"F#",0.0799,-4.213,"Minor",0.296,133.953,"4/4",0.474,"Altuve, Jose",514888,2025,654,156,105,24,1,26,0.265,0.442,0.329,0.771,29.8,6.2,30.9,97.313797857,92.666821705,20.7,50,"Altuve","Jose","Jose Altuve",0.160550458715596,0.036697247706422,0.00152905198776758,0.0397553516819572,"Fast (120+ BPM)","Neutral"
"Yordan Alvarez","Volver","Piso 21, Marc Anthony, Beéle","Volver","volver","piso 21, marc anthony, beéle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alvarez, Yordan",670541,2025,199,45,31,8,0,6,0.273,0.43,0.367,0.797,42.8,13.8,52.9,104.636630145,97.124242246,22.4,44,"Alvarez","Yordan","Yordan Alvarez",0.155778894472362,0.0402010050251256,0,0.0301507537688442,"Fast (120+ BPM)","Happy"
"Carlos Correa","Love Tonight","Shouse","Love Tonight","love tonight","shouse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Correa, Carlos",621043,2025,584,148,106,29,0,13,0.276,0.402,0.332,0.734,34.6,6.8,45.9,102.338902322,95.568245592,22.3,46.4,"Correa","Carlos","Carlos Correa",0.181506849315068,0.0496575342465753,0,0.0222602739726027,"Fast (120+ BPM)","Happy"
"Zach Dezenzo","Just What the Doctor Ordered","Ted Nugent","Ted Nugent","just what the doctor ordered","ted nugent","Blues","Ted Nugent","Just What the Doctor Ordered","6uufS093628MRruPbXiW5g",44,0.0333,0.282,225467,0.903,0.000347,"E",0.354,-6.598,"Major",0.068,165.686,"4/4",0.543,"Dezenzo, Zach",701305,2025,109,24,16,6,0,2,0.245,0.367,0.321,0.688,42.6,16.4,41,100.586424839,94.450580984,33.5,44.2,"Dezenzo","Zach","Zach Dezenzo",0.146788990825688,0.055045871559633,0,0.018348623853211,"Fast (120+ BPM)","Neutral"
"Yainer Diaz","You Give Love A Bad Name","Bon Jovi","Slippery When Wet","you give love a bad name","bon jovi","Rock","Bon Jovi","You Give Love A Bad Name","3KYiA4vq6RPO1dE2XROXd8",73,0.0704,0.537,222707,0.959,1.8e-06,"C",0.382,-3.002,"Minor",0.0557,122.806,"4/4",0.828,"Diaz, Yainer",673237,2025,567,139,93,25,1,20,0.256,0.417,0.284,0.701,34.9,9.6,42.2,100.97744942,94.706836942,23.4,59.5,"Diaz","Yainer","Yainer Diaz",0.164021164021164,0.0440917107583774,0.0017636684303351,0.0352733686067019,"Fast (120+ BPM)","Happy"
"Jake Meyers","El Trote","Rochy RD, Yanco Bars","El Trote","el trote","rochy rd, yanco bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meyers, Jake",676694,2025,381,100,80,15,2,3,0.292,0.373,0.354,0.727,34.6,5,38.9,99.285411377,93.81484913,21.2,47.2,"Meyers","Jake","Jake Meyers",0.20997375328084,0.0393700787401575,0.005249343832021,0.0078740157480315,"Fast (120+ BPM)","Happy"
"Isaac Paredes","In The Air Tonight - 2015 Remastered","Phil Collins","Face Value (Deluxe Editon)","in the air tonight - 2015 remastered","phil collins","Rock","Phil Collins","In The Air Tonight - 2015 Remastered","18AXbzPzBS8Y3AkgSxzJPb",77,0.551,0.446,336453,0.239,4.1e-06,"C",0.0697,-13.945,"Major",0.0316,189.507,"4/4",0.298,"Paredes, Isaac",670623,2025,438,96,60,15,1,20,0.254,0.458,0.352,0.81,37.2,6.3,33.6,97.968035894,93.068434007,16.4,40.9,"Paredes","Isaac","Isaac Paredes",0.136986301369863,0.0342465753424658,0.00228310502283105,0.045662100456621,"Fast (120+ BPM)","Sad"
"Jeremy Peña","Blue on Black","Five Finger Death Punch","And Justice for None","blue on black","five finger death punch","Alternative","Five Finger Death Punch","Blue on Black","7nioCrPVTkYopUB1rTvtK1",62,0.00254,0.452,274615,0.882,2.17e-05,"G",0.0836,-4.406,"Major",0.0362,156.277,"4/4",0.398,"Peña, Jeremy",665161,2025,543,150,101,30,2,17,0.304,0.477,0.363,0.84,30,8.2,42.9,100.3500578,94.382263083,27.1,51,"Peña","Jeremy","Jeremy Peña",0.186003683241252,0.0552486187845304,0.00368324125230203,0.0313075506445672,"Fast (120+ BPM)","Neutral"
"César Salazar","A Toda Prueba","Miguel Y Miguel","Con Sabor Campirano","a toda prueba","miguel y miguel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salazar, César",663967,2025,16,3,3,0,0,0,0.231,0.231,0.375,0.606,36.4,0,18.2,90.575304,90.340894444,26.9,54.2,"Salazar","César","César Salazar",0.1875,0,0,0,"Fast (120+ BPM)","Happy"
"Jesús Sánchez","White Horse","Chris Stapleton","White Horse","white horse","chris stapleton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sánchez, Jesús",660821,2025,497,107,68,21,4,14,0.237,0.395,0.304,0.699,30.3,11.1,43.4,102.78171462,95.681017749,25.9,49.2,"Sánchez","Jesús","Jesús Sánchez",0.13682092555332,0.0422535211267606,0.00804828973843058,0.028169014084507,"Fast (120+ BPM)","Happy"
"Cam Smith","My Chick Bad","Ludacris","Battle Of The Sexes (Deluxe)","my chick bad","ludacris","Dance","Ludacris","My Chick Bad","3bMNprrp2JDKZsGbiXpsJl",65,0.172,0.624,216933,0.723,0,"C#",0.483,-6.782,"Major",0.378,84.789,"4/4",0.757,"Smith, Cam",701358,2025,493,104,71,21,3,9,0.236,0.358,0.312,0.67,34.6,6.9,40.8,100.519229085,94.330406111,28.7,48.4,"Smith","Cam","Cam Smith",0.144016227180527,0.0425963488843813,0.00608519269776876,0.0182555780933063,"Slow (<90 BPM)","Happy"
"Christian Walker","La Nena","Eden Muñoz","Como en los Viejos Tiempos","la nena","eden muñoz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walker, Christian",572233,2025,640,139,87,24,1,27,0.238,0.421,0.297,0.718,34.5,12.9,46.1,102.499785971,95.668558155,30.5,52.2,"Walker","Christian","Christian Walker",0.1359375,0.0375,0.0015625,0.0421875,"Fast (120+ BPM)","Happy"
"Samuel Basallo","Misericordia","Onell Diaz, Farruko","Misericordia","misericordia","onell diaz, farruko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basallo, Samuel",694212,2025,118,18,8,6,0,4,0.165,0.33,0.229,0.559,20.3,8.9,43,101.75076075,95.101636582,29.4,56,"Basallo","Samuel","Samuel Basallo",0.0677966101694915,0.0508474576271186,0,0.0338983050847458,"Fast (120+ BPM)","Happy"
"Dylan Beavers","Overdue (with Travis Scott)","Metro Boomin","NOT ALL HEROES WEAR CAPES (Deluxe)","overdue (with travis scott)","metro boomin","Hip-Hop","Metro Boomin","Overdue (with Travis Scott)","6LyAwkJsHlW7RQ8S1cYAtM",76,0.733,0.638,166093,0.4,0.000133,"B",0.334,-11.212,"Minor",0.0425,150.133,"4/4",0.495,"Beavers, Dylan",687637,2025,137,25,15,5,1,4,0.227,0.4,0.375,0.775,37.3,9.3,28,98.582665946,93.439117838,23.7,37.1,"Beavers","Dylan","Dylan Beavers",0.109489051094891,0.0364963503649635,0.0072992700729927,0.0291970802919708,"Fast (120+ BPM)","Neutral"
"Maverick Handley","Danger Zone - From ""Top Gun"" Original Soundtrack","Kenny Loggins","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins","danger zone - from ""top gun"" original soundtrack","kenny loggins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Handley, Maverick",668974,2025,47,3,3,0,0,0,0.073,0.073,0.133,0.206,26.9,0,34.6,96.465391667,92.232695833,35.8,51.9,"Handley","Maverick","Maverick Handley",0.0638297872340425,0,0,0,"Fast (120+ BPM)","Happy"
"Gunnar Henderson","The Sweet Escape","Gwen Stefani","The Sweet Escape","the sweet escape","gwen stefani","Dance","Gwen Stefani","The Sweet Escape","66ZcOcouenzZEnzTJvoFmH",67,0.218,0.755,246467,0.765,0,"C#",0.162,-3.475,"Major",0.0356,119.954,"4/4",0.737,"Henderson, Gunnar",683002,2025,651,158,102,34,5,17,0.274,0.438,0.349,0.787,29.9,8.5,49.2,102.936564389,96.031023084,25.1,47.6,"Henderson","Gunnar","Gunnar Henderson",0.15668202764977,0.0522273425499232,0.00768049155145929,0.0261136712749616,"Medium (90–119 BPM)","Happy"
"Jackson Holliday","luther (with sza)","Kendrick Lamar","GNX","luther (with sza)","kendrick lamar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holliday, Jackson",702616,2025,649,142,101,21,3,17,0.242,0.375,0.314,0.689,32.4,7.8,40.8,99.642935225,94.03038741,24.5,47.1,"Holliday","Jackson","Jackson Holliday",0.155624036979969,0.0323574730354391,0.00462249614791988,0.0261941448382126,"Fast (120+ BPM)","Happy"
"Heston Kjerstad","Save a Horse (Ride a Cowboy)","Big & Rich","Horse of a Different Color","save a horse (ride a cowboy)","big & rich","Country","Big & Rich","Save A Horse (Ride A Cowboy)","7ngLY64yLCFIRaybpIYKJz",62,0.108,0.7,200307,0.896,0,"D",0.453,-2.276,"Major",0.191,102.065,"4/4",0.817,"Kjerstad, Heston",677008,2025,167,30,19,5,2,4,0.192,0.327,0.24,0.567,40.2,8,41.1,99.548861786,93.904868661,28.4,56.6,"Kjerstad","Heston","Heston Kjerstad",0.11377245508982,0.029940119760479,0.0119760479041916,0.0239520958083832,"Medium (90–119 BPM)","Happy"
"Coby Mayo","Man Made A Bar","Morgan Wallen","One Thing At A Time","man made a bar","morgan wallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mayo, Coby",691723,2025,294,57,34,12,0,11,0.217,0.388,0.299,0.687,33,10.1,36,99.691533371,93.857359663,30.6,45.3,"Mayo","Coby","Coby Mayo",0.115646258503401,0.0408163265306122,0,0.0374149659863946,"Fast (120+ BPM)","Happy"
"Ryan Mountcastle","Dear Maria, Count Me In","All Time Low","So Wrong, It's Right","dear maria, count me in","all time low","Pop","All Time Low","Dear Maria, Count Me In","3ZsexY07D4t4HRq7ogeSAS",69,0.00725,0.465,182827,0.896,0,"D",0.206,-3.126,"Major",0.0795,181.014,"4/4",0.569,"Mountcastle, Ryan",663624,2025,357,83,58,18,0,7,0.25,0.367,0.286,0.653,37.5,11.7,47.1,101.733937167,95.313543167,32,57.5,"Mountcastle","Ryan","Ryan Mountcastle",0.162464985994398,0.0504201680672269,0,0.0196078431372549,"Fast (120+ BPM)","Neutral"
"Adley Rutschman","Alive (nightmare) - Album Version (Edited)","Kid Cudi","Man On The Moon: The End Of Day (Deluxe)","alive (nightmare) - album version (edited)","kid cudi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rutschman, Adley",668939,2025,365,71,44,16,2,9,0.22,0.366,0.307,0.673,33.7,7.5,38.6,99.370985821,93.966094082,14.5,40.6,"Rutschman","Adley","Adley Rutschman",0.120547945205479,0.0438356164383562,0.00547945205479452,0.0246575342465753,"Fast (120+ BPM)","Happy"
"Leody Taveras","Las Avispas","Juan Luis Guerra 4.40","Para Ti","las avispas","juan luis guerra 4.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taveras, Leody",665750,2025,180,35,25,6,1,3,0.205,0.304,0.226,0.53,27.2,6.4,35.2,99.243581864,93.754772203,25.2,52.1,"Taveras","Leody","Leody Taveras",0.138888888888889,0.0333333333333333,0.00555555555555556,0.0166666666666667,"Fast (120+ BPM)","Happy"
"Taylor Ward","Let Me Blow Ya Mind","Eve","Scorpion","let me blow ya mind","eve","Hip-Hop","Eve","Let Me Blow Ya Mind","3RmKpob8xzv1pzHEQrMJah",73,0.243,0.909,229933,0.539,0,"G#",0.0674,-4.278,"Minor",0.116,90.038,"4/4",0.869,"Ward, Taylor",621493,2025,663,132,63,31,2,36,0.228,0.475,0.317,0.792,34.9,13.7,42.7,100.944753902,94.843614171,23.8,37.6,"Ward","Taylor","Taylor Ward",0.0950226244343891,0.0467571644042232,0.00301659125188537,0.0542986425339367,"Medium (90–119 BPM)","Happy"
"Jordan Westburg","Like a Stone","Audioslave","Audioslave","like a stone","audioslave","Alternative","Audioslave","Like a Stone","3YuaBvuZqcwN3CEAyyoaei",72,0.00797,0.614,293960,0.568,0,"G",0.0997,-5.477,"Minor",0.0276,107.849,"4/4",0.516,"Westburg, Jordan",676059,2025,352,87,59,10,1,17,0.265,0.457,0.313,0.77,30.1,11.2,43.4,101.28897176,94.91639,29.4,50.2,"Westburg","Jordan","Jordan Westburg",0.167613636363636,0.0284090909090909,0.00284090909090909,0.0482954545454545,"Medium (90–119 BPM)","Neutral"
"Kevin Alcántara","Contrario","EL YALA, La Greña","Contrario","contrario","el yala, la greña",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alcántara, Kevin",682634,2025,12,4,4,0,0,0,0.364,0.364,0.417,0.781,57.1,0,42.9,99.630105,94.81727,42.9,45.7,"Alcántara","Kevin","Kevin Alcántara",0.333333333333333,0,0,0,"Fast (120+ BPM)","Happy"
"Miguel Amaya","Las Avispas","Juan Luis Guerra 4.40","Para Ti","las avispas","juan luis guerra 4.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amaya, Miguel",665804,2025,103,27,14,9,0,4,0.281,0.5,0.314,0.814,38.2,6.6,32.9,97.858989737,93.0655964,26,54,"Amaya","Miguel","Miguel Amaya",0.135922330097087,0.087378640776699,0,0.0388349514563107,"Fast (120+ BPM)","Happy"
"Moisés Ballesteros","Gracias - En Vivo","Grupo Firme, Grupo Codiciado","Gracias (En Vivo)","gracias - en vivo","grupo firme, grupo codiciado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ballesteros, Moisés",694208,2025,66,17,12,2,1,2,0.298,0.474,0.394,0.868,31.1,6.7,33.3,99.939276087,94.363866444,26.7,46.6,"Ballesteros","Moisés","Moisés Ballesteros",0.181818181818182,0.0303030303030303,0.0151515151515152,0.0303030303030303,"Fast (120+ BPM)","Happy"
"Michael Busch","Awake My Soul (Psalm 57)","The Worship Initiative, Writers Well","Psalms from the Well","awake my soul (psalm 57)","the worship initiative, writers well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Busch, Michael",683737,2025,592,137,73,25,5,34,0.261,0.523,0.343,0.866,41.1,17.1,47.3,101.692645959,95.541508831,25.1,46.8,"Busch","Michael","Michael Busch",0.123310810810811,0.0422297297297297,0.00844594594594595,0.0574324324324324,"Fast (120+ BPM)","Happy"
"Pete Crow-Armstrong","If I Can't - Album Version (Edited)","50 Cent","Get Rich Or Die Tryin","if i can't - album version (edited)","50 cent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crow-Armstrong, Pete",691718,2025,647,146,74,37,4,31,0.247,0.481,0.287,0.768,33.9,13,41.6,100.676597945,94.609790365,28.9,60.1,"Crow-Armstrong","Pete","Pete Crow-Armstrong",0.114374034003091,0.0571870170015456,0.00618238021638331,0.0479134466769706,"Fast (120+ BPM)","Happy"
"Ian Happ","Still Boomin (feat. 2 Chainz)","Larry June","Spaceships on the Blade","still boomin (feat. 2 chainz)","larry june",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happ, Ian",664023,2025,663,138,83,32,0,23,0.243,0.42,0.342,0.762,35.7,10.4,44.4,101.384139763,95.030374418,24.6,43.5,"Happ","Ian","Ian Happ",0.125188536953243,0.0482654600301659,0,0.0346907993966818,"Fast (120+ BPM)","Happy"
"Nico Hoerner","Lose Control","MEDUZA, Becky Hill, Goodboys","Lose Control","lose control","meduza, becky hill, goodboys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoerner, Nico",663538,2025,649,178,138,29,4,7,0.297,0.394,0.345,0.739,36.1,2.3,30.3,96.704418551,92.414274628,11.2,48.8,"Hoerner","Nico","Nico Hoerner",0.212634822804314,0.0446841294298921,0.0061633281972265,0.0107858243451464,"Fast (120+ BPM)","Happy"
"Carson Kelly","MY EYES","Travis Scott","UTOPIA","my eyes","travis scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kelly, Carson",608348,2025,421,92,61,13,1,17,0.249,0.428,0.333,0.761,34.8,9.6,40.3,99.757056939,94.178120819,20.6,44.9,"Kelly","Carson","Carson Kelly",0.144893111638955,0.0308788598574822,0.00237529691211401,0.0403800475059382,"Fast (120+ BPM)","Happy"
"Seiya Suzuki","Under Pressure","Logic","Under Pressure (Deluxe)","under pressure","logic","Hip-Hop","Logic","Under Pressure","5LME7YULt0enp6UAB8VoDn",66,0.239,0.701,559533,0.856,0,"B",0.106,-5.465,"Major",0.219,83.982,"4/4",0.563,"Suzuki, Seiya",673548,2025,651,140,74,31,3,32,0.245,0.478,0.326,0.804,40.2,16.6,48.7,102.931278798,95.890233373,23.9,40.6,"Suzuki","Seiya","Seiya Suzuki",0.113671274961598,0.0476190476190476,0.00460829493087558,0.0491551459293395,"Slow (<90 BPM)","Neutral"
"Dansby Swanson","Gasolina","Daddy Yankee","Barrio Fino (Bonus Track Version)","gasolina","daddy yankee","Hip-Hop","Daddy Yankee","Gasolina","6jEZLz3YpnEBRpVkv35AmP",78,0.332,0.857,192600,0.801,1.2e-06,"C",0.0789,-6.499,"Major",0.0618,96.009,"4/4",0.753,"Swanson, Dansby",621020,2025,645,144,93,24,3,24,0.244,0.417,0.3,0.717,36.9,11.7,47.8,101.168222972,95.031771415,30.5,50.3,"Swanson","Dansby","Dansby Swanson",0.144186046511628,0.0372093023255814,0.00465116279069767,0.0372093023255814,"Medium (90–119 BPM)","Happy"
