"player","song","artist","album","song_clean","artist_clean","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","raw_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","last","first","name","single_rate","double_rate","triple_rate","homerun_rate","tempo_bin","valence_bin"
"Chandler Simpson","Sum 2 Prove","Lil Baby","Sum 2 Prove","sum 2 prove","lil baby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simpson, Chandler",802415,2025,441,122,104,15,3,0,0.295,0.345,0.326,0.671,29.8,0,17.3,93.5904715,90.810575972,11.5,48.6,"Simpson","Chandler","Chandler Simpson",0.235827664399093,0.0340136054421769,0.00680272108843537,0,"Fast (120+ BPM)","Happy"
"Taylor Walls","on one tonight","Gunna","One of Wun","on one tonight","gunna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walls, Taylor",670764,2025,317,62,43,14,1,4,0.22,0.319,0.28,0.599,33.5,3.2,26.4,96.119638571,92.100255905,20.3,45.9,"Walls","Taylor","Taylor Walls",0.135646687697161,0.0441640378548896,0.00315457413249211,0.0126182965299685,"Fast (120+ BPM)","Happy"
"Carson Williams","Wonderwall","Oasis","(What's The Story) Morning Glory?","wonderwall","oasis","Rock","Oasis","Wonderwall","4w7RuuQAVP0JXlAom3z1aC",57,0.000714,0.41,258080,0.893,0,"F#",0.202,-4.347,"Minor",0.0342,174.648,"4/4",0.688,"Williams, Carson",700246,2025,106,17,9,3,0,5,0.172,0.354,0.219,0.573,30.4,8.9,35.7,97.9481525,93.165114909,38.3,49.6,"Williams","Carson","Carson Williams",0.0849056603773585,0.0283018867924528,0,0.0471698113207547,"Fast (120+ BPM)","Happy"
"Gabriel Arias","DIOS HA SIDO BUENO","Madiel Lara","INFINITO","dios ha sido bueno","madiel lara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arias, Gabriel",672356,2025,471,95,57,25,2,11,0.22,0.363,0.274,0.637,33.8,11.3,43.3,102.355979412,95.517852978,40.5,57.3,"Arias","Gabriel","Gabriel Arias",0.121019108280255,0.0530785562632696,0.00424628450106157,0.0233545647558386,"Fast (120+ BPM)","Happy"
"David Fry","Loud and Heavy","Cody Jinks","Adobe Sessions","loud and heavy","cody jinks","Rock","Cody Jinks","Loud and Heavy","0SF38KDlXNLJAxbYyOMnCy",67,0.000531,0.502,229928,0.685,1.61e-06,"C",0.0923,-5.847,"Minor",0.0283,81.978,"4/4",0.574,"Fry, David",681807,2025,157,25,13,4,0,8,0.171,0.363,0.229,0.592,23.9,9.1,39.8,99.144653488,93.742049535,32.6,52.6,"Fry","David","David Fry",0.0828025477707006,0.0254777070063694,0,0.0509554140127389,"Slow (<90 BPM)","Neutral"
"Austin Hedges","I'm Gonna Be","Post Malone","Hollywood's Bleeding","i'm gonna be","post malone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hedges, Austin",595978,2025,180,25,17,3,0,5,0.161,0.277,0.25,0.527,30.5,3.4,32.2,98.538487857,93.387313929,30.3,51.7,"Hedges","Austin","Austin Hedges",0.0944444444444444,0.0166666666666667,0,0.0277777777777778,"Fast (120+ BPM)","Happy"
"Kyle Manzardo","Drifter","Hippie Sabotage","Drifter","drifter","hippie sabotage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manzardo, Kyle",700932,2025,531,110,62,19,2,27,0.234,0.455,0.313,0.768,37.1,11.8,43.8,100.114470588,94.531639086,27.7,48.4,"Manzardo","Kyle","Kyle Manzardo",0.116760828625235,0.0357815442561205,0.00376647834274953,0.0508474576271186,"Fast (120+ BPM)","Happy"
"Bo Naylor","THANK GOD","Travis Scott","UTOPIA","thank god","travis scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naylor, Bo",666310,2025,414,70,33,22,1,14,0.195,0.379,0.282,0.661,36.8,9.7,38.3,99.633649773,94.100167452,22,47.1,"Naylor","Bo","Bo Naylor",0.0797101449275362,0.0531400966183575,0.00241545893719807,0.0338164251207729,"Fast (120+ BPM)","Happy"
"Jhonkensy Noel","Iced Out Audemars (feat. Dafi Woo)","Pop Smoke","Shoot For The Stars Aim For The Moon (Deluxe)","iced out audemars (feat. dafi woo)","pop smoke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Noel, Jhonkensy",678877,2025,153,24,16,2,0,6,0.162,0.297,0.183,0.48,25.8,6.2,41.2,102.828730612,95.724912371,34.7,60.9,"Noel","Jhonkensy","Jhonkensy Noel",0.104575163398693,0.0130718954248366,0,0.0392156862745098,"Fast (120+ BPM)","Happy"
"Brayan Rocchio","EL MUNDO ES MÍO","Bad Bunny","EL ÚLTIMO TOUR DEL MUNDO","el mundo es mío","bad bunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rocchio, Brayan",677587,2025,383,80,55,18,2,5,0.233,0.34,0.29,0.63,33.3,3.3,35.5,98.267840896,93.292344494,24,51.4,"Rocchio","Brayan","Brayan Rocchio",0.143603133159269,0.0469973890339426,0.00522193211488251,0.0130548302872063,"Fast (120+ BPM)","Happy"
"Daniel Schneemann","PA QUE LO BAILES (BAILALO ROCKY)","Lomiiel","PA QUE LO BAILES (BAILALO ROCKY)","pa que lo bailes (bailalo rocky)","lomiiel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schneemann, Daniel",682177,2025,422,78,47,18,1,12,0.206,0.354,0.283,0.637,32.6,11.4,41.7,99.967612231,94.233244324,29.6,45.4,"Schneemann","Daniel","Daniel Schneemann",0.111374407582938,0.042654028436019,0.0023696682464455,0.028436018957346,"Fast (120+ BPM)","Happy"
"Griffin Conine","Tokyo Drifting","Glass Animals","Dreamland","tokyo drifting","glass animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conine, Griffin",665052,2025,86,20,11,7,0,2,0.253,0.418,0.314,0.732,33.3,14.8,48.1,102.12991,95.268616852,36.1,45.9,"Conine","Griffin","Griffin Conine",0.127906976744186,0.0813953488372093,0,0.0232558139534884,"Fast (120+ BPM)","Happy"
"Xavier Edwards","SKITZO (feat. Young Thug)","Travis Scott","UTOPIA","skitzo (feat. young thug)","travis scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edwards, Xavier",669364,2025,619,159,131,20,5,3,0.283,0.353,0.343,0.696,33.6,0.8,29.4,96.768424561,92.424991053,12.2,49,"Edwards","Xavier","Xavier Edwards",0.211631663974152,0.0323101777059774,0.00807754442649435,0.00484652665589661,"Fast (120+ BPM)","Happy"
"Heriberto Hernández","Jordan","Rochy RD","Jordan","jordan","rochy rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hernández, Heriberto",681715,2025,294,68,45,12,1,10,0.266,0.438,0.347,0.785,29,10.9,45.4,101.299416264,95.054874807,35.2,45.2,"Hernández","Heriberto","Heriberto Hernández",0.153061224489796,0.0408163265306122,0.00340136054421769,0.0340136054421769,"Fast (120+ BPM)","Happy"
"Liam Hicks","Your Soul","Hippie Sabotage","The Sunny Album (Deluxe Edition)","your soul","hippie sabotage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hicks, Liam",689414,2025,390,82,62,13,1,6,0.247,0.346,0.346,0.692,39,3.5,27.7,96.015787174,92.008309275,15.1,37.4,"Hicks","Liam","Liam Hicks",0.158974358974359,0.0333333333333333,0.00256410256410256,0.0153846153846154,"Fast (120+ BPM)","Happy"
"Otto Lopez","Bing Bong","Yailin la Mas Viral, Puyalo Pantera","Bing Bong","bing bong","yailin la mas viral, puyalo pantera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lopez, Otto",672640,2025,594,134,98,21,0,15,0.246,0.368,0.305,0.673,32.5,7.1,38.3,99.900867489,94.042562749,18.9,46.3,"Lopez","Otto","Otto Lopez",0.164983164983165,0.0353535353535354,0,0.0252525252525253,"Fast (120+ BPM)","Happy"
"Dane Myers","Coming In Hot","Andy Mineo, Lecrae","Coming In Hot","coming in hot","andy mineo, lecrae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myers, Dane",667472,2025,333,72,56,10,0,6,0.235,0.326,0.291,0.617,34.6,7.8,42,99.818160261,94.250510655,23.7,45,"Myers","Dane","Dane Myers",0.168168168168168,0.03003003003003,0,0.018018018018018,"Fast (120+ BPM)","Happy"
"Connor Norby","Still Tippin' (feat. Slim Thug and Paul Wall)","Mike Jones","Who Is Mike Jones?","still tippin' (feat. slim thug and paul wall)","mike jones","Hip-Hop","Mike Jones","Still Tippin' (feat. Slim Thug and Paul Wall)","1jqARIDOovT45LDzxAQ6RA",58,0.0361,0.86,271053,0.861,4.07e-05,"F#",0.113,-7.131,"Minor",0.307,143.184,"4/4",0.79,"Norby, Connor",681393,2025,337,78,52,17,1,8,0.251,0.389,0.3,0.689,42,9.4,37.1,98.764348839,93.549892377,29.3,54.2,"Norby","Connor","Connor Norby",0.154302670623145,0.0504451038575668,0.0029673590504451,0.0237388724035608,"Fast (120+ BPM)","Happy"
"Graham Pauley","Everlong","Foo Fighters","The Colour And The Shape","everlong","foo fighters","Alternative","Foo Fighters","Everlong","5UWwZ5lm5PKu6eKsHAGxOk",74,5.96e-05,0.412,250547,0.882,0.00031,"B",0.0805,-5.54,"Minor",0.0369,158.066,"4/4",0.356,"Pauley, Graham",688363,2025,184,36,22,9,1,4,0.224,0.366,0.311,0.677,33.9,5.5,35.4,97.950822063,92.977433016,26.9,47.6,"Pauley","Graham","Graham Pauley",0.119565217391304,0.0489130434782609,0.00543478260869565,0.0217391304347826,"Fast (120+ BPM)","Neutral"
"Agustín Ramírez","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Arcángel, Bad Bunny","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","tu no vive asi (feat. mambo kingz & dj luian)","arcángel, bad bunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ramírez, Agustín",682663,2025,585,124,69,33,1,21,0.231,0.413,0.287,0.7,31.1,11,47,103.943810657,96.283585728,25.5,49.9,"Ramírez","Agustín","Agustín Ramírez",0.117948717948718,0.0564102564102564,0.00170940170940171,0.0358974358974359,"Fast (120+ BPM)","Happy"
"Javier Sanoja","Lo Que Te Killa","Bulin 47, Breyco En Producidera","Lo Que Te Killa","lo que te killa","bulin 47, breyco en producidera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanoja, Javier",691594,2025,342,76,44,22,4,6,0.243,0.396,0.287,0.683,31.8,1.8,35,98.289398881,93.337097491,12.4,46.9,"Sanoja","Javier","Javier Sanoja",0.128654970760234,0.064327485380117,0.0116959064327485,0.0175438596491228,"Fast (120+ BPM)","Happy"
"Kyle Stowers","Blue Notes","Meek Mill","DC4","blue notes","meek mill","Hip-Hop","Meek Mill","Blue Notes","7Gs3otHnZDq514kFHf0nx7",66,0.665,0.515,227809,0.431,0,"E",0.147,-8.251,"Major",0.257,141.392,"4/4",0.184,"Stowers, Kyle",669065,2025,457,115,66,21,3,25,0.288,0.544,0.368,0.912,38,19,52,103.093111727,96.214876787,32.5,54,"Stowers","Kyle","Kyle Stowers",0.144420131291028,0.0459518599562363,0.00656455142231947,0.0547045951859956,"Fast (120+ BPM)","Sad"
"Eric Wagaman","Flow Pesao (Remix)","El Fecho RD, Tauro.9","Flow Pesao (Remix)","flow pesao (remix)","el fecho rd, tauro.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wagaman, Eric",676572,2025,514,119,79,28,3,9,0.25,0.378,0.296,0.674,34.4,6.8,46.5,102.304067053,95.484613553,24.2,45.2,"Wagaman","Eric","Eric Wagaman",0.153696498054475,0.0544747081712062,0.00583657587548638,0.0175097276264591,"Fast (120+ BPM)","Happy"
"Byron Buxton","Jamming","Bob Marley & The Wailers","Legend - The Best Of Bob Marley And The Wailers","jamming","bob marley & the wailers","Reggae","Bob Marley & The Wailers","Jamming","4N8UFEJSemqrX1JqFSXln1",70,0.148,0.941,211000,0.473,2.65e-05,"B",0.112,-10.976,"Minor",0.274,123.673,"4/4",0.765,"Buxton, Byron",621439,2025,542,129,66,21,7,35,0.264,0.551,0.327,0.878,32.9,17.6,53.8,103.649870983,96.632317826,31.3,51.8,"Buxton","Byron","Byron Buxton",0.121771217712177,0.0387453874538745,0.0129151291512915,0.0645756457564576,"Fast (120+ BPM)","Happy"
"Mickey Gasper","All Around the World","Lisa Stansfield","Affection (Deluxe)","all around the world","lisa stansfield","Dance","Lisa Stansfield","All Around the World","0piPn2zyL4Yi60ml53qNXE",49,0.329,0.656,268293,0.727,6.81e-06,"C#",0.104,-10.557,"Major",0.124,100.526,"4/4",0.652,"Gasper, Mickey",681508,2025,110,15,12,1,0,2,0.158,0.232,0.257,0.489,16.9,1.3,31.2,97.650921842,93.035443421,18.5,39.5,"Gasper","Mickey","Mickey Gasper",0.109090909090909,0.00909090909090909,0,0.0181818181818182,"Medium (90–119 BPM)","Neutral"
"Alex Jackson","The Promised Land","Bruce Springsteen","Darkness On the Edge of Town","the promised land","bruce springsteen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackson, Alex",656577,2025,100,20,7,8,0,5,0.22,0.473,0.29,0.763,40.7,14.8,40.7,102.546793333,95.380737963,38.9,50.9,"Jackson","Alex","Alex Jackson",0.07,0.08,0,0.05,"Fast (120+ BPM)","Happy"
"Edouard Julien","Waiting For Never","Post Malone","Twelve Carat Toothache (Deluxe)","waiting for never","post malone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Julien, Edouard",666397,2025,208,40,27,10,0,3,0.22,0.324,0.309,0.633,39,12.2,42.3,100.268172787,94.521132377,26.1,40.3,"Julien","Edouard","Edouard Julien",0.129807692307692,0.0480769230769231,0,0.0144230769230769,"Fast (120+ BPM)","Happy"
"Ryan Kreidler","All My Life (feat. J. Cole)","Lil Durk, J. Cole","All My Life (feat. J. Cole)","all my life (feat. j. cole)","lil durk, j. cole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreidler, Ryan",668952,2025,44,4,4,0,0,0,0.105,0.105,0.19,0.295,38.1,4.8,28.6,98.99076,93.991411579,41.8,50.8,"Kreidler","Ryan","Ryan Kreidler",0.0909090909090909,0,0,0,"Fast (120+ BPM)","Happy"
